"codigo"|"apartamento"|"bairro_extraido"|"qtd_quartos"|"qtd_banheiros"|"qtd_graragem"|"metragem"|"valor_venda"
213626|Apartamento de 120m² com 03 quartos à venda - Centro|Centro|3|3|2|120|R$ 470.000,00
199214|Apartamento com 158m² de 03 quartos à venda - Centro|Centro|3|3|1|158|R$ 470.000,00
190370|Apartamento de 80 m² com 03 quartos à venda - Vila Mariana|Vila Mariana|3|2|1|80|R$ 470.000,00
188558|Apartamento de 80m² com 02 quartos para venda - Centro|Centro|2|3|2|80|R$ 470.000,00
120191|APARTAMENTO PRÓXIMO À USP||1|1|1|34|R$ 470.000,00
103097|ÓTIMO APARTAMENTO NO BAIRRO NOVA ALIANÇA!||2|2|1|68|R$ 470.000,00
75785|Apartamento com 93m² com 3 quartos à venda - Presidente Médici|Presidente Médici|3|2|1|93|R$ 470.000,00
55319|APARTAMENTO NO CENTRO||3|2|1|94|R$ 470.000,00
202685|Apartamento de 73m² com 02 quartos à venda - Ribeirânia|Ribeirânia|2|2|1|73|R$ 460.000,00
127694|Apartamento de 164m² com 03 quartos à venda - Centro|Centro|3|4|1|164|R$ 380.000,00
68144|Apartamento de 121mts; 03 dorm sendo 01 suite - CAMPOS ELÍSEOS|CAMPOS ELÍSEOS|3|3|1|121|R$ 380.000,00
131477|LINDO APARTAMENTO NO BAIRRO VILA SEIXAS||3|2|1|97|R$ 450.000,00
103973|APARTAMENTO PRÓXIMO À CATEDRAL||3|3|1|231|R$ 450.000,00
243881|Apartamento de 56m² com 02 quartos para venda - Sumarezinho|Sumarezinho|2|2|1|56|R$ 477.000,00
216449|Apartamento de 57m² com 02 quartos à venda - Alto da Boa Vista|Alto da Boa Vista|2|2|1|57|R$ 477.000,00
145898|APARTAMENTO PRÓXIMO À AVENIDA PROFESSOR JOÃO FIÚSA||3|3|1|0|R$ 477.000,00
133133|Apartamento mobiliado de 58m² com 01 quarto para locação e venda - Bosque das Juritis|Bosque das Juritis|1|1|1|58|R$ 477.000,00
107345|Apartamento de 65m² com 02 quartos para venda - Nova Aliança|Nova Aliança|2|2|1|65|R$ 477.000,00
98963|APARTAMENTO PRÓXIMO À AVENIDA TREZE DE MAIO||4|5|2|146|R$ 477.000,00
53249|Apartamento de 105m² com 03 quartos à venda - Campos Elíseos|Campos Elíseos|3|2|1|105|R$ 477.000,00
216032|Apartamento de 63m² com 02 quartos à venda - City Ribeirão|City Ribeirão|2|2|1|63|R$ 477.792,57
95147|Apartamento de 54m² de 02 quartos para locação - Bairro Vila Monte Alegre|Bairro Vila Monte Alegre|2|2|1|54|R$ 478.000,00
73517|APARTAMENTO SANTA CRUZ DOS JACQUES||3|1|1|93|R$ 479.000,00
237770|apartamento de 57m² com 01 suíte à venda - Nova Aliança|Nova Aliança|1|2|1|57|R$ 430.000,00
242633|Apartamento de 57m² com 02 quartos sendo 01 suíte à venda - Nova Aliança|Nova Aliança|2|2|1|57|R$ 450.000,00
234920|Apartamento de 93m² com 03 quartos à venda - Jardim Irajá|Jardim Irajá|3|3|1|93|R$ 450.000,00
190607|EXCELENTE OPORTUNIDADE DE APARTAMENTO NO CENTRO||3|3|1|127|R$ 450.000,00
235604|Apartamento de 67m² com 02 quartos sendo 01 suíte para venda e locação - Jardim Palma Travassos|Jardim Palma Travassos|2|2|1|67|R$ 470.000,00
222077|Apartamento de 57m² com 02 quartos sendo 01 suíte à venda - Nova Aliança|Nova Aliança|2|2|1|57|R$ 470.000,00
180215|APARTAMENTO NO ALTO DA BOA VISTA||2|2|1|53|R$ 470.000,00
111470|Apartamento de 54m² com 02 quartos à venda - Santa Cruz do José Jacques|Santa Cruz do José Jacques|2|1|1|54|R$ 470.000,00
244913|Apartamento de 100m² com 02 quartos para venda - Jardim Botânico|Jardim Botânico|2|2|1|100|R$ 480.000,00
240362|Apartamento de 70m² com 02 quartos sendo 01 suíte para a locação e venda - Jardim Botânico|Jardim Botânico|2|2|1|70|R$ 480.000,00
236441|Apartamento de 72m² com 02 quartos à venda - Quintas de São José|Quintas de São José|2|2|1|72|R$ 480.000,00
235289|Apartamento de 104m² com 03 quartos - Lagoinha|Lagoinha|3|3|2|104|R$ 480.000,00
233264|Apartamento com 89m², 03 quartos, para venda - Jardim Paulista.|Jardim Paulista|3|2|1|89|R$ 480.000,00
232778|Apartamento de 106m² com 03 quartos à venda - Santa Cruz do José Jacques|Santa Cruz do José Jacques|3|3|2|106|R$ 480.000,00
230471|Apartamento mobiliado de 49m² com 02 quartos para locação e venda - Alto da Boa Vista|Alto da Boa Vista|2|1|1|49|R$ 480.000,00
229952|Apartamento padrão com 58 m², 02 quartos, Ribeirânia.||2|2|1|58|R$ 480.000,00
221507|Apartamento térreo de 181m² com 04 quartos sendo 02 suítes à venda - Jardim Paulista|Jardim Paulista|4|3|2|181|R$ 480.000,00
216575|Apartamento de 113m² com 03 quartos à venda - Jardim Irajá|Jardim Irajá|3|3|1|113|R$ 480.000,00
214091|Apartamento de 150m² com 03 quartos à venda - Centro|Centro|3|3|2|150|R$ 480.000,00
200927|EXCELENTE APARTAMENTO NO CENTRO||2|2|1|93|R$ 480.000,00
195047|EXCELENTE APARTAMENTO LOCALIZADO NO JARDIM BOTÂNICO||3|2|2|70|R$ 480.000,00
193466|APARTAMENTO MOBILIADO PRÓXIMO À USP||2|2|1|78|R$ 480.000,00
188975|Apartamento de 03 quartos para locação - Jardim Botânico|Jardim Botânico|3|1|2|75|R$ 480.000,00
183284|Apartamento de 80m² com 02 quartos para venda - Centro|Centro|2|2|2|80|R$ 480.000,00
182000|Apartamento de 103m² com 03 quartos sendo 01 suíte à venda - Vila Seixas|Vila Seixas|3|2|2|103|R$ 480.000,00
181865|APARTAMENTO AV CARAMURU COM 116M² - 3 DORMITÓRIOS 1 SUÍTE|"3 DORMITÓRIOS 1 SUÍTE"|3|3|1|116|R$ 480.000,00
179744|APARTAMENTO NA ZONA SUL PRÓXIMO À AV. JOÃO FIÚSA||3|2|1|87|R$ 480.000,00
172019|Apartamento de 128m² para venda - Centro|Centro|3|3|1|128|R$ 480.000,00
158384|APARTAMENTO DIFERENCIADO NO JARDIM BOTÂNICO||2|3|2|73|R$ 480.000,00
158177|APARTAMENTO NO CENTRO||3|3|2|123|R$ 480.000,00
157325|Apartamento de 63m² com 02 quartos à venda - Nova Aliança|Nova Aliança|2|2|1|63|R$ 480.000,00
149936|Apartamento de 62m² com 02 suítes á venda - Jardim Califórnia|Jardim Califórnia|2|2|2|62|R$ 480.000,00
128027|APARTAMENTO NO JARDIM NOVA ALIANÇA||2|3|2|88|R$ 480.000,00
126710|Apartamento de 74m² com 02 quartos sendo 01 supite à venda - Centro|Centro|2|3|2|74|R$ 480.000,00
116999|APARTAMENTO PRÓXIMO À PRAÇA 7 DE SETEMBRO||3|2|2|83|R$ 480.000,00
112913|Apartamento de 85m² com 02 quartos sendo 01 suíte à venda - Vila Seixas|Vila Seixas|2|2|2|85|R$ 480.000,00
106124|Apartamento de 81m² com 02 quartos para venda e locação - Jardim Paulista|Jardim Paulista|2|2|1|81|R$ 480.000,00
88904|Apartamento de 02 suítes para locação - Jardim Botânico|Jardim Botânico|2|2|2|88|R$ 480.000,00
83537|APARTAMENTO NO JARDIM PAULISTA||2|2|2|81|R$ 480.000,00
32714|Apartamento - Padrão|Padrão|3|2|1|0|R$ 480.000,00
162026|More na Nova Fiusa - TRIADE FIUSA HOME RESORT|TRIADE FIUSA HOME RESORT|3|2|1|67|R$ 483.802,00
213218|Apartamento de 48m² com 02 quartos à venda - Alto da Boa vista|Alto da Boa vista|2|1|1|48|R$ 426.000,00
181997|Apartamento de 54m² com 02 quartos à venda - Vila Monte Alegre|Vila Monte Alegre|2|2|1|54|R$ 485.000,00
90020|Apartamento - Padrão|Padrão|3|2|2|107|R$ 485.000,00
242807|Apartamento mobiliado de 56m² com 02 quartos à venda - Sumarezinho|Sumarezinho|2|2|1|56|R$ 489.000,00
63848|Apartamento de 156m² com 03 quartos á venda - Higienópolis|Higienópolis|3|3|2|156|R$ 449.000,00
238862|Apartamento de 57m² com 02 quartos à venda - Nova Aliança|Nova Aliança|2|2|1|57|R$ 450.000,00
197075|EXCELENTE APARTAMENTO PARA VENDA NO CENTRO DE RIBEIRÃO PRETO||3|3|1|107|R$ 460.000,00
130868|Apartamento de 82m² com 02 quartos para locação e venda - Jardim Botânico|Jardim Botânico|2|2|1|82|R$ 480.000,00
62921|APARTAMENTO PRÓXIMO À UNAERP||3|3|1|118|R$ 480.000,00
243701|Apartamento de 104m² com 03 quartos à venda - Vila Seixas|Vila Seixas|3|3|2|104|R$ 490.000,00
221531|Apartamento de 75m² com 03 quartos sendo 01 suíte à venda - Jardim Botânico|Jardim Botânico|3|2|1|75|R$ 490.000,00
213521|Apartamento de 72m² com 02 quartos à venda - Sumarezinho|Sumarezinho|2|2|1|72|R$ 490.000,00
210989|Apartamento de 111m com 03 quartos - Centro|Centro|3|3|1|111|R$ 490.000,00
202433|EXCELENTE APARTAMENTO REFORMADO PRÓXIMO AV. NOVE DE JULHO||3|4|1|160|R$ 490.000,00
184139|Apartamento de 76m² com 02 quartos sendo 01 suíte à venda - Jardim Sumaré|Jardim Sumaré|2|2|1|76|R$ 490.000,00
178004|Apartamento de 79m² com 02 quartos sendo 01 suíte para locação e venda - Nova Aliança|Nova Aliança|2|2|1|79|R$ 490.000,00
153692|Apartamento de 62m² com 02 suítes para locação - Jardim Califórnia|Jardim Califórnia|2|2|1|62|R$ 490.000,00
146309|Apartamento de 82m² com 02 Quartos a venda - Jardim Paulista|Jardim Paulista|2|2|2|82|R$ 490.000,00
42908|Apartamento de 93m² com 02 quartos sendo 01 suíte para venda - Centro|Centro|2|3|1|93|R$ 490.000,00
196010|Apartamento de 69m² com 02 suítes à venda - Jardim Botânico|Jardim Botânico|2|3|1|69|R$ 493.637,24
219479|Apartamento de 72m² com 03 quartos sendo 01 suíte à venda - Quintas De São José|Quintas De São José|3|3|1|72|R$ 495.000,00
212783|Apartamento de 62m² com 02 suítes à venda - Nova Aliança|Nova Aliança|2|3|1|62|R$ 495.000,00
239900|Lançamento: Alma Panamby - Apartamento de 65m² com 03 quartos com suíte à venda - Panamby II|Apartamento de 65m² com 03 quartos com suíte à venda Panamby II|3|2|1|65|R$ 497.000,00
243278|Apartamento de 71m² com 02 quartos à venda - Bonfim Paulista|Bonfim Paulista|2|2|2|71|R$ 498.000,00
232982|Apartamento de 50m² com 02 quartos à venda - Residencial Monterrey|Residencial Monterrey|2|1|1|50|R$ 450.000,00
236354|Apartamento de 65m² com 02 suítes à venda - Residencial Taiwan|Residencial Taiwan|2|3|1|65|R$ 489.000,00
242933|Apartamento de 97m² com 02 quartos sendo 01 suíte à venda - Nova Aliança|Nova Aliança|2|2|2|97|R$ 499.000,00
241340|Apartamento mobíliado de 82m² com 03 quartos à venda - Nova Aliança|Nova Aliança|3|2|2|82|R$ 499.000,00
238346|Apartamento de 61m² com 02 quartos para venda - Quinta da Primavera|Quinta da Primavera|2|2|1|61|R$ 499.000,00
237803|Apartamento de 55m² com 02 quartos à venda - Santa Cruz do José Jacques|Santa Cruz do José Jacques|2|1|2|55|R$ 499.000,00
227198|Apartamento de 61m² com 02 quartos à venda - Quinta da Primavera|Quinta da Primavera|2|2|1|61|R$ 499.000,00
122207|Apartamento de 75m² com 02 quartos à venda - Vila Tibério|Vila Tibério|2|2|2|75|R$ 499.000,00
228398|Apartamento de 83m² com 02 quartos sendo 01 suíte à venda - Nova Ribeirânia|Nova Ribeirânia|2|2|1|83|R$ 499.900,00
239492|Apartamento de 59m² com 01 quarto para venda e locação - Alto da Boa Vista|Alto da Boa Vista|1|1|1|59|R$ 742.000,00
233318|Apartamento Studio mobiliado com 49 m², 01 quarto, para locação - Alto da Boa Vista.|Alto da Boa Vista|1|1|1|49|R$ 660.000,00
245582|Apartamento mobiliado de 104m² com 03 suítes para venda e locação - Vila do golf|Vila do golf|3|4|2|104|R$ 750.000,00
150620|Apartamento de 261m² com 04 quartos à venda - Centro|Centro|4|5|2|261|R$ 650.000,00
201380|Apartamento de 59m² com 02 quartos para locação e venda - Jardim Sumaré|Jardim Sumaré|2|2|2|59|R$ 850.000,00
97874|Apartamento de 180m² com 03 quartos para locação e venda - Jardim Irajá|Jardim Irajá|3|4|3|180|R$ 1.290.000,00
184175|Apartamento de 60 m² com 01 quarto para venda - Jardim Botânico|Jardim Botânico|1|1|1|60|R$ 530.000,00
184931|Apartamento de 378m² com 04 quartos para venda e locação - Centro|Centro|4|5|4|378|R$ 1.350.000,00
213329|Apartamento de 131m² com 04 quartos à venda - Presidente Médici|Presidente Médici|4|3|4|131|R$ 630.000,00
244154|Apartamento de 90m² com 02 suítes para locação e venda - Bosque das Juritis|Bosque das Juritis|2|3|2|90|R$ 750.000,00
221807|Apartamento de 82m² com 02 quartos sendo 01 suíte à venda - Alamedas do Botânico|Alamedas do Botânico|2|2|2|82|R$ 839.000,00
137285|Apartamento de 432m² com 5 quartos para locação e venda - Centro|Centro|5|6|4|432|R$ 900.000,00
241157|Apartamento de 80m² com 02 suítes para a venda e a locação - Jardim Olhos D`água|Jardim Olhos Dágua|2|3|2|80|R$ 950.000,00
217691|Apartamento de 133m² com 03 quartos para locação e venda - Jardim Nova Aliança Sul|Jardim Nova Aliança Sul|3|4|2|133|R$ 960.000,00
206036|Apartamento de 100m² com 03 quartos para locação e venda - Jardim Botânico|Jardim Botânico|3|3|2|100|R$ 880.000,00
105830|Apartamento de 139m² com 03 quartos para locação e venda - Jardim Canadá|Jardim Canadá|3|4|2|139|R$ 1.020.000,00
123419|Apartamento de 101m² com 03 suítes para venda - Nova Aliança|Nova Aliança|3|3|2|101|R$ 750.000,00
228170|Apartamento de 202m² com 03 quartos para locação e venda - Jardim Irajá|Jardim Irajá|3|5|3|202|R$ 1.199.000,00
153407|Apartamento de 132m² com 03 suítes para venda e locação - Jardim Olhos D` Água|Jardim Olhos D Água|3|4|3|132|R$ 1.250.000,00
238916|Apartamento mobiliado de 73m² com 02 quartos à venda - Bosque das Juritis|Bosque das Juritis|2|1|1|73|R$ 770.000,00
232850|Apartamento 118m² com 03 suítes à venda - Jardim Olhos D`Água|Jardim Olhos DÁgua|3|4|2|118|R$ 1.250.000,00
193238|APARTAMENTO NO CENTRO||3|2|1|127|R$ 375.000,00
85055|Apartamento de 46m² com 03 quartos para venda - Jardim Paulista|Jardim Paulista|3|2|1|46|R$ 400.000,00
159350|Apartamento de 90m² com 01 quarto à venda - Centro|Centro|1|2|1|90|R$ 430.000,00
196283|Apartamento - Padrão|Padrão|2|2|1|62|R$ 450.000,00
177749|APARTAMENTO NO JARDIM IRAJÁ||3|2|1|111|R$ 450.000,00
176480|APARTAMENTO NO JARDIM PAULISTANO||3|4|1|135|R$ 450.000,00
174908|APARTAMENTO NO JARDIM IRAJÁ||3|3|1|0|R$ 450.000,00
98822|Apartamento de 110m² com 03 quartos à venda - Jardim Paulista|Jardim Paulista|3|2|2|110|R$ 450.000,00
95186|APARTAMENTO NO JARDIM IRAJÁ||3|2|1|111|R$ 450.000,00
87569|Apartamento de 87m² com 02 suítes á venda - Jardim América|Jardim América|2|3|2|87|R$ 450.000,00
161426|APARTAMENTO NO CENTRO||3|2|1|158|R$ 460.000,00
141557|EXCELENTE APARTAMENTO PARA LOCAÇÃO NO BAIRRO IRAJÁ||3|3|2|0|R$ 470.000,00
235397|Apartamento de 68m² com 03 quartos para locação e venda - Parque Industrial Lagoinha|Parque Industrial Lagoinha|3|2|2|68|R$ 479.000,00
28520|Apartamento a poucos metros do Parque Raya||3|2|2|111|R$ 480.000,00
238025|Apartamento de 72m² com 02 quartos sendo 01 suíte à venda - Nova Aliança|Nova Aliança|2|2|2|72|R$ 490.000,00
245168|Apartamento de 105m² com 03 quartos sendo 01 à venda - Lagoinha|Lagoinha|3|2|1|105|R$ 500.000,00
244505|Apartamento de 86m² com 03 quartos para venda 02 vagas - Jardim Botânico|Jardim Botânico|3|3|2|86|R$ 500.000,00
242324|Apartamento de 95m² com 03 quartos sendo 01 suíte à venda - Jardim Paulista|Jardim Paulista|3|3|1|95|R$ 500.000,00
240620|Apartamento de 75m² com 03 quartos para locação e venda - Jardim Botânico|Jardim Botânico|3|2|2|75|R$ 500.000,00
235202|Apartamento de 102m² com 03 quartos para venda - Centro|Centro|3|2|1|102|R$ 500.000,00
230900|Apartamento de 52m² com 02 quartos sendo 1 suíte à venda - Quintas de São José|Quintas de São José|2|2|1|52|R$ 500.000,00
226469|Apartamento de 58m² com 02 quartos para locação e venda - Ribeirânia|Ribeirânia|2|2|1|58|R$ 500.000,00
216452|Apartamento de 71m² com 02 quartos à venda - Ribeirânia|Ribeirânia|2|2|1|71|R$ 500.000,00
214595|Apartamento de 80m² com 02 quartos para locação - Nova Aliança|Nova Aliança|2|2|2|80|R$ 500.000,00
204152|Apartamento de 61m² com 02 quartos para locação e venda - Quinta da Primavera|Quinta da Primavera|2|2|1|61|R$ 500.000,00
199064|FLAT NA RIBEIRÂNIA||2|1|1|58|R$ 500.000,00
196025|Apartamento mobiliado de 35m² com 01 quarto à venda - Vila Amélia|Vila Amélia|1|1|1|35|R$ 500.000,00
188579|EXCELENTE APARTAMENTO PRÓXIMO Á AVENIDA INDEPENDÊNCIA||3|1|1|132|R$ 500.000,00
178610|Apartamento de 107m² com 03 quartos sendo 01 suíte para venda - jardim Paulista|jardim Paulista|3|2|2|107|R$ 500.000,00
174545|Apartamento de 111m² com 03 quartos sendo 01 suíte à venda - Jardim Irajá|Jardim Irajá|3|3|2|111|R$ 500.000,00
169562|APARTAMENTO NO CENTRO||3|3|1|140|R$ 500.000,00
168347|Apartamento de 42m² com 01 quarto - Nova Aliança|Nova Aliança|1|1|1|42|R$ 500.000,00
147635|APARTAMENTO PRÓXIMO À AVENIDA LEÃO XIII||2|2|1|61|R$ 500.000,00
146804|Apartamento de 165m² com 03 quartos sendo 1 suíte - Centro|Centro|3|4|1|165|R$ 500.000,00
145205|APARTAMENTO PRÓXIMO À AVENIDA MAURILIO BIAGI||3|2|2|96|R$ 500.000,00
133865|APARTAMENTO PRÓXIMO À UNAERP||3|2|1|88|R$ 500.000,00
131399|Apartamento de 83m² com 02 quartos para venda - Centro|Centro|2|2|2|83|R$ 500.000,00
130313|Apartamento de 58m² com 02 quartos sendo 01 suíte à venda - Ribeirânia|Ribeirânia|2|2|1|58|R$ 500.000,00
126716|Apartamento de 74m² com 03 quartos à venda - Centro|Centro|2|3|2|74|R$ 500.000,00
126713|Apartamento de 74m² com 03 quartos à venda - Centro|Centro|2|3|2|74|R$ 500.000,00
126707|Apartamento de 72m² com 02 quartos para locação - Centro|Centro|2|3|1|72|R$ 500.000,00
120887|Apartamento de 58m² com 02 quartos para locação - Ribeirânia|Ribeirânia|2|2|1|58|R$ 500.000,00
120698|APARTAMENTO NO JARDIM NOVO MUNDO||2|2|1|70|R$ 500.000,00
120695|Apartamento de 70m² com 02 quartos para locação - Jardim Novo Mundo|Jardim Novo Mundo|2|2|1|70|R$ 500.000,00
120689|Apartamento de 70m² com 02 quartos para locação - Jardim Novo Mundo|Jardim Novo Mundo|2|2|1|70|R$ 500.000,00
120179|APARTAMENTO PRÓXIMO AO SHOPPING SANTA ÚRSULA||3|3|1|129|R$ 500.000,00
109466|Apartamento de 122m² com 03 quartos - Centro|Centro|4|3|2|122|R$ 500.000,00
106403|APARTAMENTO NO JARDIM BOTÂNICO||3|2|2|83|R$ 500.000,00
104618|APARTAMENTO NO SANTA CRUZ DO JOSÉ JACQUES||3|3|2|85|R$ 500.000,00
102374|Apartamento de 103m² com 03 quartos para venda - Vila Monte Alegre|Vila Monte Alegre|3|2|1|103|R$ 500.000,00
93674|APARTAMENTO NO CENTRO||1|1|1|42|R$ 500.000,00
85280|Apartamento de 82m² com 02 quartos à venda - Jardim Paulista|Jardim Paulista|2|2|2|82|R$ 500.000,00
82421|APARTAMENTO TÉRREO NO BOSQUES DOS JURITIS||2|2|1|64|R$ 500.000,00
82307|EXCELENTE APARTAMENTO NO CENTRO||3|3|1|210|R$ 500.000,00
157226|APARTAMENTO PRÓXIMO À AVENIDA PROFESSOR JOÃO FIÚSA||3|3|2|108|R$ 450.000,00
95486|Apartamento de 85m² com 03 quartos para locação e venda - Santa Cruz do José Jacques|Santa Cruz do José Jacques|3|3|1|85|R$ 480.000,00
194807|Excelente localização no Centro||3|3|2|132|R$ 460.000,00
244877|Apartamento de 67m² com 01 quarto à venda - Ribeirânia|Ribeirânia|2|1|1|67|R$ 510.000,00
242192|Apartamento de 103m² com 03 quartos para locação - Alto da Boa Vista|Alto da Boa Vista|3|2|2|103|R$ 510.000,00
236054|Apartamento de 86m² com 02 quartos sendo 01 suíte para locação - Jardim Botânico|Jardim Botânico|2|2|1|86|R$ 510.000,00
221894|Apartamento de 58m² com 02 quartos sendo 01 suíte para venda - Ribeirânia|Ribeirânia|2|2|2|58|R$ 510.000,00
183329|Apartamento de 43m² com 01 suíte para venda e locação - Alto da Boa Vista|Alto da Boa Vista|1|1|1|43|R$ 510.000,00
