codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
95588.0,Apartamento de 61m² com 03 quartos à venda   Ipiranga,3.0,1.0,2.0,61.0,Ipiranga,197000.0
188690.0,Apartamento de 57 m² com 02 quartos à venda   Jardim Paulista,2.0,2.0,1.0,57.0,Jardim Paulista,430000.0
226682.0,Apartamento de 41m² com 02 quartos à venda   Jardim João Rossi,2.0,1.0,1.0,41.0,Jardim Joao Rossi,135000.0
134774.0,Excelente Oportunidade,2.0,1.0,1.0,40.0,Reserva Real,166500.0
101573.0,Apartamento   Padrão,1.0,1.0,1.0,63.0,Centro,280000.0
102410.0,Apartamento de 02 quartos á venda   Vila Maria Luiza,2.0,1.0,1.0,50.0,Vila Maria Luiza,220000.0
156011.0,Apartamento de 92m² com 03 quartos sendo 01 suíte para venda   Jardim Palma Travassos,3.0,2.0,1.0,92.0,Jardim Palma Travassos,350000.0
167096.0,Apartamento térreo de 86m² com 03 quartos à venda   Parque dos Bandeirantes,3.0,2.0,1.0,86.0,Parque dos Bandeirantes,340000.0
243371.0,Apartamento de 108m² com 3 quartos sendo 1 suíte à venda   Bosque das Juritis,3.0,3.0,2.0,108.0,Bosque das Juritis,900000.0
185867.0,Apartamento 43 m² e 2 quartos   Loteamento Santa Marta,2.0,1.0,1.0,43.0,Loteamento Santa Marta,220000.0
135617.0,Apartamento de 214m² com 03 suítes para locação e venda   Bosque dos Juritis,3.0,5.0,3.0,214.0,Jardim Sao Luiz,1300000.0
241661.0,Apartamento de 55m² com 02 quartos para venda ? Vila Virgínia,2.0,1.0,1.0,55.0,Vila Virginia,130000.0
144218.0,Apartamento de 41m² com 02 quartos à venda   Reserva Real,2.0,1.0,1.0,41.0,Reserva Real,170000.0
165461.0,Apartamento de 02 quartos à venda   Santa Cruz do José Jacques,2.0,2.0,1.0,74.0,Santa Cruz do Jose Jacques,390000.0
238607.0,Apartamento de 196m² com 03 suítes à venda   City Ribeirão,3.0,4.0,3.0,196.0,City Ribeirao,700000.0
118925.0,APARTAMENTO PRÓXIMO À AVENIDA DO CAFÉ,3.0,2.0,1.0,84.0,Vila Monte Alegre,300000.0
174113.0,Apartamento 69 m² com 2 quartos para locação   Vila Monte Alegre,2.0,1.0,1.0,69.0,Vila Monte Alegre,230000.0
189617.0,Apartamento de 100 m² com 03 quartos para venda   Jardim Irajá,3.0,2.0,1.0,100.0,Condominio Itamaraty,440000.0
213518.0,Apartamento de 122m² com 03 quartos à venda   Centro,3.0,3.0,2.0,122.0,Centro,550000.0
106370.0,Apartamento duplex de 60m² com 01 quarto   Jardim Palma Travassos,1.0,2.0,1.0,60.0,Jardim Palma Travassos,295000.0
244451.0,Apartamento de 43m² com 02 quartos para venda   Jardim José Wilson Toni,2.0,1.0,1.0,43.0,Jardim Jose Wilson Toni,168000.0
162164.0,Apartamento de 47m² com 02 quartos à venda   Quinta da Primavera,2.0,1.0,1.0,47.0,Condominio Mirante Sul,225000.0
221807.0,Apartamento de 82m² com 02 quartos sendo 01 suíte à venda   Alamedas do Botânico,2.0,2.0,2.0,82.0,Alamedas do Botanico,839000.0
134171.0,APARTAMENTO NO CENTRO,3.0,2.0,1.0,140.0,Centro,580000.0
238559.0,Apartamento de 39m² com 01 quarto   Jardim California,1.0,1.0,1.0,39.0,Jardim California,230000.0
160517.0,APARTAMENTO PRÓXIMO À AVENIDA JOSÉ ANTÔNIO FERRAREZI,2.0,1.0,1.0,40.0,Reserva Real,162000.0
193550.0,****APARTAMENTO ALTO PADRÃO EM AVENIDA GRANDE FLUXO****,1.0,1.0,1.0,60.0,Santa Cruz do Jose Jacques,371000.0
236042.0,Apartamento de 42m² com 02 quartos para venda   Parque Industrial Lagoinha,2.0,1.0,1.0,42.0,Parque Industrial Lagoinha,230000.0
