codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
238742.0,Apartamento de 166m² com 03 suítes   Jardim Olhos d´agua,3.0,5.0,2.0,166.0,Jardim Olhos DAgua,1400000.0
189518.0,Apartamento de 124m² com 03 quartos à venda   Centro,4.0,4.0,2.0,124.0,Centro,750000.0
230138.0,Apartamento de 65m² com 02 quartos à venda   Parque Anhanguera,2.0,1.0,1.0,65.0,Parque Anhanguera,250000.0
161900.0,APARTAMENTO PRÓXIMO À AVENIDA ANTÔNIO E HELENA ZERRENER,2.0,1.0,1.0,46.0,Sumarezinho,190000.0
126362.0,Apartamento de 123m² com 03 suíte para locação e venda   Jardim Botânico,3.0,4.0,2.0,123.0,Jardim Botanico,970000.0
86573.0,Apartamento de 144m² com 03 suítes à venda   Jardim Irajá,3.0,4.0,2.0,144.0,Jardim Iraja,750000.0
67448.0,Apartamento de 107m² com 03 suítes suíte para locação   Jardim Paulista,3.0,4.0,2.0,107.0,Jardim Paulista,700000.0
128363.0,APARTAMENTO NO GRAND PRIVILEGE,4.0,6.0,2.0,310.0,Jardim Botanico,2699000.0
199217.0,APARTAMENTO NO CENTRO,2.0,2.0,1.0,132.0,Centro,460000.0
239669.0,Apartamento de 42m² com 02 quartos à venda   Jardim Heitor Rigon,2.0,1.0,1.0,42.0,Jardim Heitor Rigon,140000.0
211940.0,Apartamento de 44m² com 01 suíte para locação,1.0,1.0,1.0,44.0,Jardim Recreio,375000.0
151436.0,Apartamento de 69m² com 02 quartos à venda   Jardim Macedo,2.0,1.0,1.0,69.0,Jardim Macedo,210000.0
234635.0,Apartamento de 47m² com 02 quartos para venda,2.0,1.0,1.0,47.0,Reserva Sul Condominio,225000.0
201455.0,APARTAMENTO NA VILA TIBERIO,2.0,2.0,2.0,80.0,Vila Tiberio,390000.0
108875.0,Apartamento de 46 m² com 02 quartos   Parque São Sebastião,2.0,1.0,1.0,46.0,Parque Sao Sebastiao,150000.0
214490.0,Apartamento de 46m² com 01 suíte para locação e venda   Jardim Botânico,1.0,1.0,1.0,46.0,Jardim Botanico,210000.0
240278.0,Apartamento de 49m² com 02 quartos à venda   Residencial Monterrey,2.0,1.0,1.0,49.0,Residencial Monterrey,334000.0
86036.0,Apartamento de 117m² à venda   Jardim Botânico,3.0,4.0,2.0,117.0,Jardim Botanico,780000.0
192653.0,EXCELENTE APARTAMENTO EM BONFIM PAULISTA,2.0,2.0,1.0,42.0,Jardim Santa Cecilia,195000.0
235289.0,Apartamento de 104m² com 03 quartos   Lagoinha,3.0,3.0,2.0,104.0,Lagoinha,480000.0
223838.0,Apartamento de 66m² com 02 quartos sendo 01 suíte à venda   Parque Industrial Lagoinha,2.0,2.0,1.0,66.0,Parque Industrial Lagoinha,265000.0
226157.0,Apartamento de 41m² com 02 quartos à venda   Reserva Real,2.0,1.0,1.0,41.0,Reserva Real,220000.0
217985.0,Apartamento térreo de 104m² com 03 quartos à venda   Campos Elíseos,3.0,2.0,1.0,104.0,Campos Eliseos,290000.0
232517.0,Apartamento de 39m² com 01 quarto à venda   Jardim Sumaré,1.0,1.0,1.0,39.0,Jardim Sumare,446000.0
157934.0,Apartamento de 65m² com 03 quartos à venda   Jardim Palma Travassos,3.0,2.0,1.0,65.0,Jardim Palma Travassos,275000.0
245579.0,Apartamento de 85m² com 02 quartos para venda   Jardim Botânico,2.0,2.0,1.0,85.0,Jardim Botanico,379000.0
196787.0,APARTAMENTO EM EXCELENTE LOCALIZAÇÃO NO CENTRO,1.0,1.0,1.0,52.0,Centro,260000.0
187748.0,Apartamento de 40m² com 02 quartos para locação   Recreio das Acácios,2.0,1.0,1.0,40.0,Recreio das Acacias,223000.0
87194.0,EXCELENTE APARTAMENTO PARA LOCAÇÃO E VENDA NO CAMPOS ELÍSEOS,2.0,1.0,1.0,46.0,Campos Eliseos,180000.0
185282.0,Apartamento   Padrão,2.0,2.0,1.0,72.0,Centro,280000.0
97001.0,apartamento de 37m² com 01 quarto   Centro,1.0,1.0,1.0,37.0,Centro,200000.0
209105.0,Apartamento de 129 m² com 03 quartos para venda   Centro,3.0,3.0,1.0,129.0,Centro,610000.0
68408.0,Apartamento de 02 quartos para venda   Jardim Botânico,2.0,2.0,2.0,83.0,Jardim Botanico,460000.0
187610.0,Apartamento de 41m² com 02 quartos para locação e venda   Reserva Imperial,2.0,1.0,1.0,41.0,Reserva Real,230000.0
191342.0,Apartamento com 02 quartos sendo 01 suíte à venda   Ipiranga,2.0,1.0,1.0,61.0,Ipiranga,270000.0
57818.0,Apartamento de 51m² com 01 quarto   Centro,1.0,1.0,1.0,51.0,Centro,371000.0
122207.0,Apartamento de 75m² com 02 quartos à venda   Vila Tibério,2.0,2.0,2.0,75.0,Vila Tiberio,499000.0
167183.0,APARTAMENTO NO NOVA ALIANÇA,1.0,1.0,1.0,45.0,Nova Alianca,350000.0
155255.0,Apartamento de 80m² com 03 quartos à venda   Bosque das Juritis,3.0,2.0,2.0,80.0,Bosque das Juritis,649000.0
210428.0,Apartamento de 47m² com 01 quarto à venda   Vila Seixas,1.0,1.0,1.0,47.0,Centro,300000.0
189110.0,IMÓVEL NO IPIRANGA,2.0,1.0,1.0,48.0,Ipiranga,170000.0
151097.0,APARTAMENTO PRÓXIMO À AVENIDA BARÃO DO BANANAL,2.0,1.0,1.0,42.0,Parque Industrial Lagoinha,185500.0
177446.0,APARTAMENTO NA AVENIDA CARAMURU,2.0,1.0,1.0,57.0,Republica,186000.0
82664.0,Apartamento   Padrão,3.0,3.0,2.0,96.0,Higienopolis,460000.0
230201.0,Apartamento padrão de 158m² com 03 suítes à venda   Jardim Botânico,3.0,5.0,2.0,158.0,Jardim Botanico,1150000.0
203888.0,Apartamento novo de 51m² com 02 quartos à venda   Jardim Novo Mundo,2.0,1.0,1.0,51.0,Jardim Novo Mundo,263500.79
77309.0,Apartamento de 48m² com 02 quartos para locação e venda   Vila Maria Luiza,2.0,1.0,2.0,48.0,Vila Maria Luiza,240000.0
197120.0,Apartamento de 110m² com 3 quartos à venda   Bonfim Paulista,2.0,3.0,2.0,110.0,Bonfim Paulista,700000.0
198242.0,Apartamento de 118m² com 03 suítes à venda   Jardim Olhos D`Água II,3.0,4.0,2.0,118.0,Jardim Olhos DAgua,820000.0
154964.0,APARTAMENTO PRÓXIMO À AVENIDA MARECHAL COSTA E SILVA,2.0,1.0,1.0,42.0,Campos Eliseos,175000.0
87446.0,Apartamento   Padrão,2.0,1.0,1.0,50.0,Vila Virginia,150000.0
229679.0,Apartamento de 46m² com 02 quartos à   Ipiranga,2.0,1.0,1.0,46.0,Ipiranga,200000.0
244901.0,Apartamento de 42m² com 02 quartos à venda   Jardim José Wilson Toni,2.0,1.0,1.0,42.0,Jardim Jose Wilson Toni,195000.0
86636.0,APARTAMENTO NO BAIRRO JARDIM IRAJÁ,1.0,1.0,2.0,34.0,Jardim Iraja,265000.0
181682.0,APARTAMENTO ALTO PADRÃO PRÓXIMO À AVENIDA BRAZ OLAIA ACOSTA OTIMA OPORTUNIDADE,3.0,4.0,2.0,171.0,Nova Alianca,1600000.0
138836.0,Apartamento de 46m² 01 quarto para locação e venda   Jardim Paulista,1.0,1.0,1.0,46.0,Jardim Paulista,202000.0
219434.0,Apartamento de 65m² com 02 quartos sendo 01 suíte para locação   Nova Aliança,2.0,2.0,2.0,65.0,Nova Alianca,420000.0
175463.0,APARTAMENTO NO RESERVA REAL,2.0,1.0,1.0,41.0,Reserva Real,212000.0
167114.0,APARTAMENTO NA VILA SEIXAS,2.0,2.0,1.0,35.0,Centro,260000.0
170258.0,APARTAMENTO NOVO NO BAIRRO VILA MONTE ALEGRE,2.0,2.0,1.0,61.0,Vila Monte Alegre,275000.0
201746.0,KITNET NO JARDIM CALIFORNIA,1.0,1.0,1.0,25.0,Jardim California,280000.0
172697.0,APARTAMENTO NO QUINTINO FACCI II,2.0,1.0,1.0,42.0,Quintino Facci II,161000.0
245294.0,Apartamento de 50 m² com 2 quartos e Piscina para venda no Jardim Anhanguera.,2.0,1.0,1.0,50.0,Jardim Anhanguera,199000.0
106412.0,Apartamento de 60m² com 01 suíte para locação   City Ribeirão,1.0,2.0,1.0,60.0,City Ribeirao,420000.0
153845.0,LINDO APARTAMENTO NO JARDIM IRAJÁ,2.0,2.0,1.0,82.0,Jardim Iraja,425000.0
92876.0,APARTAMENTO PRÓXIMO À CATEDRAL,2.0,1.0,1.0,65.0,Centro,280000.0
169862.0,APARTAMENTO NO JARDIM INTERLAGOS,2.0,1.0,1.0,43.0,Jardim Interlagos,160000.0
47612.0,Apartamento de 79m² com 03 quartos   Parque Industrial Lagoinha,3.0,2.0,2.0,79.0,Parque Industrial Lagoinha,335000.0
